PID,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Utilities,Neighborhood,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remodeled,Exter Qual,Exter Cond,Bsmt Unf Sqft,Total Bsmnt Sqft,Central Air,Living Area Sqft,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom,Kitchen,Total Rooms,Garage Type,Garage Yr Blt,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Fence,Date Sold,SalePrice
528292080,RL,-1,12104,Pave,,AllPub,Gilbert,1Fam,2Story,7,5,2006,2006,Gd,TA,1035.0,1035.0,Y,2322,0.0,0.0,3,1,4,1,8,Attchd,2006.0,3.0,617.0,TA,TA,Y,,08-2006,287602.0
909251040,RL,51,6821,Pave,,AllPub,Crawfor,1Fam,1.5Fin,6,7,1921,2005,TA,TA,538.0,651.0,Y,1298,0.0,0.0,2,0,2,1,8,Detchd,1994.0,1.0,240.0,TA,TA,P,,08-2007,146500.0
534429030,RL,70,9842,Pave,,AllPub,NAmes,Duplex,1Story,4,5,1962,1962,TA,TA,0.0,0.0,Y,1224,0.0,0.0,2,0,2,2,6,CarPort,1962.0,2.0,462.0,TA,TA,Y,,03-2007,101800.0
533208010,FV,47,4230,Pave,Pave,AllPub,Somerst,TwnhsE,1Story,7,5,2006,2007,Gd,TA,1352.0,1352.0,Y,1352,0.0,0.0,2,0,2,1,5,Attchd,2006.0,2.0,466.0,TA,TA,Y,,04-2007,208900.0
534278150,RL,-1,14357,Pave,,AllPub,NAmes,1Fam,1Story,5,5,1961,1961,TA,TA,386.0,864.0,Y,1187,1.0,0.0,1,0,2,1,6,Attchd,1961.0,2.0,440.0,TA,TA,Y,,08-2007,140500.0
527451410,RM,21,1680,Pave,,AllPub,BrDale,Twnhs,2Story,6,5,1971,1971,TA,TA,525.0,525.0,Y,1092,0.0,0.0,1,1,3,1,6,Detchd,1971.0,1.0,264.0,TA,TA,Y,,03-2010,88000.0
533130020,RL,107,10186,Pave,,AllPub,NoRidge,1Fam,2Story,7,5,1992,1992,Gd,TA,76.0,750.0,Y,1923,1.0,0.0,2,1,3,1,8,Attchd,1992.0,2.0,564.0,TA,TA,Y,,06-2010,190000.0
528458040,FV,72,8640,Pave,,AllPub,Somerst,1Fam,1Story,8,5,2009,2009,Gd,TA,364.0,1300.0,Y,1314,1.0,0.0,2,0,3,1,6,Attchd,2009.0,2.0,552.0,TA,TA,Y,,09-2009,229456.0
909275110,RL,60,7230,Pave,,AllPub,Crawfor,1Fam,2.5Unf,7,7,1927,1992,TA,TA,851.0,851.0,Y,1718,0.0,0.0,2,1,4,1,8,Detchd,1927.0,2.0,264.0,TA,TA,Y,GdPrv,10-2007,238000.0
528280100,RL,-1,11214,Pave,,AllPub,Gilbert,1Fam,2Story,7,5,1998,1999,Gd,TA,930.0,930.0,Y,1886,0.0,0.0,2,1,4,1,10,Attchd,1998.0,2.0,431.0,TA,TA,Y,,07-2006,199900.0
903458110,RM,-1,7920,Pave,Grvl,AllPub,IDOTRR,1Fam,1.5Fin,6,7,1920,1950,TA,Fa,319.0,319.0,Y,1406,0.0,0.0,1,0,3,1,6,,,0.0,0.0,,,N,MnPrv,03-2008,89500.0
908225310,RL,52,8741,Pave,,AllPub,Edwards,Duplex,1Story,5,6,1946,1950,TA,TA,1195.0,1195.0,N,1195,0.0,0.0,2,0,4,2,8,,,0.0,0.0,,,N,GdWo,07-2007,98500.0
904101170,RL,80,17120,Pave,,AllPub,ClearCr,1Fam,1.5Fin,4,4,1959,1959,TA,TA,0.0,0.0,Y,1588,0.0,0.0,2,0,4,1,7,Detchd,1991.0,2.0,680.0,TA,TA,N,,07-2008,134432.0
535377070,RL,60,10914,Pave,Grvl,AllPub,NAmes,1Fam,1Story,3,3,1929,1950,TA,Fa,715.0,715.0,N,715,0.0,0.0,1,0,2,1,4,Detchd,1967.0,2.0,660.0,Fa,TA,N,,08-2006,68000.0
528102100,RL,93,12030,Pave,,AllPub,NridgHt,1Fam,1Story,8,5,2007,2007,Ex,TA,1694.0,1694.0,Y,1694,0.0,0.0,2,0,3,1,7,Attchd,2007.0,3.0,818.0,TA,TA,Y,,12-2007,318000.0
528456240,FV,75,7862,Pave,,AllPub,Somerst,1Fam,1Story,6,5,2009,2009,Gd,TA,1191.0,1218.0,Y,1218,0.0,0.0,2,0,2,1,4,Attchd,2009.0,2.0,676.0,TA,TA,Y,,09-2009,208300.0
907135260,RL,57,9245,Pave,,AllPub,CollgCr,1Fam,1Story,5,5,1994,1995,TA,TA,304.0,990.0,Y,990,0.0,1.0,1,0,3,1,5,Detchd,1996.0,2.0,672.0,TA,TA,Y,,02-2008,145000.0
535302130,RL,102,9373,Pave,,AllPub,NAmes,1Fam,1Story,5,6,1953,1953,TA,TA,456.0,1152.0,Y,1152,0.0,0.0,1,1,3,1,6,Detchd,1971.0,2.0,636.0,TA,TA,Y,,05-2008,137500.0
904301060,RL,60,10800,Pave,,AllPub,Edwards,Duplex,1Story,5,5,1987,1988,TA,TA,0.0,1200.0,Y,1200,3.0,0.0,3,0,3,1,5,,,0.0,0.0,,,Y,,03-2009,179000.0
908276140,RL,62,7692,Pave,,AllPub,Edwards,1Fam,SLvl,4,6,1954,1954,TA,TA,416.0,416.0,Y,1204,0.0,0.0,1,0,3,1,6,Basment,1954.0,1.0,312.0,TA,TA,Y,,11-2008,100000.0
527302090,RL,93,12299,Pave,,AllPub,NWAmes,1Fam,1Story,7,6,1978,1985,TA,TA,201.0,1529.0,Y,1664,1.0,0.0,2,0,3,1,7,Attchd,1978.0,2.0,663.0,TA,TA,Y,,09-2007,213000.0
527106050,RL,65,8139,Pave,,AllPub,Gilbert,1Fam,2Story,6,5,1995,1996,TA,TA,204.0,680.0,Y,1470,0.0,0.0,2,1,3,1,7,BuiltIn,1995.0,2.0,420.0,TA,TA,Y,,10-2008,165000.0
903234100,RM,51,6120,Pave,,AllPub,OldTown,1Fam,1.5Fin,7,5,1931,1950,TA,TA,952.0,952.0,Y,1774,0.0,0.0,2,0,2,2,8,Detchd,1931.0,2.0,468.0,Fa,TA,Y,,04-2008,129900.0
527453160,RL,24,2308,Pave,,AllPub,NPkVill,TwnhsE,2Story,6,6,1975,1975,TA,TA,275.0,855.0,Y,1456,0.0,0.0,2,1,4,1,7,Attchd,1975.0,2.0,460.0,TA,TA,Y,,05-2008,143000.0
528456220,FV,75,9000,Pave,,AllPub,Somerst,1Fam,2Story,8,5,2008,2008,Gd,TA,768.0,768.0,Y,1590,0.0,0.0,2,1,3,1,6,Attchd,2008.0,2.0,676.0,TA,TA,Y,,06-2009,210000.0
909427200,RL,80,14000,Pave,,AllPub,Crawfor,1Fam,1Story,6,8,1950,2004,TA,Gd,1092.0,1092.0,Y,1152,0.0,1.0,1,0,3,1,6,Attchd,1950.0,1.0,300.0,TA,TA,Y,GdPrv,08-2009,158500.0
908276230,RL,60,8190,Pave,,AllPub,Edwards,1Fam,1Story,4,6,1954,1954,TA,TA,216.0,948.0,Y,948,1.0,0.0,1,0,3,1,5,Detchd,1956.0,1.0,280.0,TA,TA,Y,,10-2007,119000.0
911102090,C (all),60,5280,Pave,,AllPub,IDOTRR,1Fam,2Story,4,7,1895,1950,TA,TA,173.0,173.0,N,1361,0.0,0.0,1,0,2,1,6,Detchd,1895.0,1.0,185.0,Fa,TA,Y,,07-2008,89000.0
527455240,RL,65,7150,Pave,,AllPub,NAmes,1Fam,1Story,5,5,1967,1967,TA,TA,460.0,892.0,Y,892,0.0,0.0,1,0,3,1,5,Attchd,1967.0,1.0,288.0,TA,TA,Y,GdWo,07-2009,100000.0
903233140,RM,51,6120,Pave,,AllPub,BrkSide,1Fam,1.5Unf,7,8,1929,2001,TA,TA,832.0,832.0,Y,854,0.0,0.0,1,0,2,1,5,Detchd,1991.0,2.0,576.0,TA,TA,Y,GdPrv,07-2007,132000.0
535402330,RL,91,11643,Pave,,AllPub,NAmes,Duplex,2Story,5,5,1969,1969,TA,TA,748.0,1248.0,Y,2634,1.0,1.0,2,2,6,2,12,Detchd,1969.0,4.0,968.0,TA,TA,Y,,08-2009,200000.0
528176010,RL,110,14300,Pave,,AllPub,NridgHt,1Fam,1Story,9,5,2003,2004,Ex,TA,1473.0,2846.0,Y,2696,1.0,0.0,2,1,3,1,10,Attchd,2003.0,3.0,958.0,TA,TA,Y,,06-2010,500000.0
905200220,RL,-1,11616,Pave,,AllPub,Sawyer,1Fam,1Story,5,5,1962,1962,TA,TA,252.0,1092.0,Y,1092,0.0,1.0,1,0,3,1,6,Attchd,1962.0,1.0,288.0,TA,TA,Y,,09-2009,139000.0
905351150,RL,-1,5271,Pave,,AllPub,ClearCr,1Fam,1Story,7,5,1986,1986,TA,TA,371.0,1453.0,Y,1453,1.0,0.0,1,1,2,1,6,Attchd,1986.0,2.0,445.0,TA,TA,Y,,12-2006,190000.0
923205015,RL,-1,11875,Pave,,AllPub,Mitchel,1Fam,1Story,5,5,1999,1999,TA,TA,1344.0,1344.0,Y,1344,0.0,0.0,2,0,3,1,7,Attchd,2001.0,2.0,686.0,TA,TA,Y,,06-2010,166500.0
911370510,RM,44,3811,Pave,,AllPub,Crawfor,TwnhsE,1Story,8,5,2004,2005,Gd,TA,221.0,1594.0,Y,1646,1.0,1.0,2,0,2,1,5,Attchd,2004.0,2.0,525.0,TA,TA,Y,,05-2010,246000.0
533213120,FV,24,2280,Pave,Pave,AllPub,Somerst,Twnhs,2Story,6,5,1999,1999,TA,TA,194.0,744.0,Y,1549,1.0,0.0,2,1,3,1,6,Detchd,1999.0,2.0,440.0,TA,TA,Y,,04-2008,172900.0
527158090,RL,-1,10147,Pave,,AllPub,Gilbert,1Fam,SLvl,6,5,1994,1994,TA,TA,206.0,392.0,Y,1694,0.0,0.0,2,1,3,1,7,BuiltIn,1994.0,2.0,398.0,TA,TA,Y,MnPrv,03-2007,160000.0
528429120,RL,49,20896,Pave,,AllPub,Somerst,1Fam,1Story,8,5,2005,2006,Gd,TA,356.0,2077.0,Y,2097,1.0,0.0,1,1,1,1,8,Attchd,2005.0,3.0,1134.0,TA,TA,Y,,01-2006,423000.0
535105160,RL,85,8500,Pave,,AllPub,NAmes,1Fam,1Story,5,3,1961,1961,TA,TA,635.0,1235.0,Y,1235,0.0,0.0,1,0,2,1,6,Attchd,1961.0,2.0,480.0,TA,TA,Y,GdWo,12-2006,98600.0
534475185,RL,128,12160,Pave,,AllPub,NAmes,1Fam,1Story,6,4,1953,1953,TA,TA,481.0,1505.0,Y,1505,1.0,0.0,1,0,2,1,6,Attchd,1953.0,2.0,505.0,TA,TA,Y,,02-2009,149500.0
903234160,RM,60,6180,Pave,,AllPub,BrkSide,1Fam,1Story,6,5,1926,1950,TA,TA,960.0,960.0,N,986,0.0,0.0,1,0,2,1,5,Detchd,1926.0,1.0,180.0,TA,TA,Y,,05-2007,
903429010,RM,63,4347,Pave,,AllPub,OldTown,1Fam,1.5Fin,6,8,1910,1950,Gd,TA,796.0,796.0,Y,1609,0.0,0.0,1,0,3,1,7,Detchd,1910.0,1.0,228.0,Fa,Fa,N,,06-2008,127500.0
905452050,RL,50,9340,Pave,,AllPub,Edwards,1Fam,1Story,4,6,1941,1950,TA,TA,328.0,672.0,Y,672,1.0,0.0,1,0,2,1,4,Attchd,1941.0,1.0,234.0,TA,TA,N,,08-2009,113000.0
535126140,RL,90,14670,Pave,,AllPub,NAmes,1Fam,2Story,6,7,1966,1999,Gd,Gd,529.0,1104.0,Y,1988,0.0,0.0,2,1,4,1,9,Attchd,1966.0,2.0,480.0,TA,TA,Y,MnPrv,08-2008,227000.0
528435050,RL,85,10130,Pave,,AllPub,Somerst,1Fam,1Story,8,5,2007,2007,Gd,TA,408.0,1702.0,Y,1702,1.0,0.0,2,0,3,1,7,Attchd,2007.0,3.0,844.0,TA,TA,Y,,03-2009,275500.0
533253090,RL,40,3874,Pave,,AllPub,Greens,TwnhsE,1Story,8,5,1980,1980,Gd,TA,419.0,1226.0,Y,1226,1.0,0.0,1,0,1,1,4,Attchd,1980.0,2.0,484.0,TA,TA,Y,,07-2006,190000.0
908152070,RL,-1,7917,Pave,,AllPub,Edwards,1Fam,1Story,6,7,1976,1976,TA,Gd,392.0,1143.0,Y,1113,1.0,0.0,1,1,3,1,6,Attchd,1987.0,1.0,504.0,TA,Gd,Y,GdPrv,05-2007,148000.0
908275220,RL,60,8172,Pave,,AllPub,Edwards,1Fam,1Story,5,7,1955,1990,TA,TA,697.0,864.0,Y,864,1.0,0.0,1,0,2,1,5,Detchd,1957.0,2.0,572.0,TA,TA,N,,04-2006,115000.0
902206130,RM,50,6900,Pave,,AllPub,OldTown,1Fam,1.5Fin,6,7,1938,2000,TA,TA,827.0,827.0,Y,1251,0.0,0.0,1,0,3,1,6,Detchd,1938.0,1.0,240.0,Fa,TA,N,,01-2010,119000.0
535425040,RL,80,10800,Pave,,AllPub,NAmes,1Fam,1Story,6,6,1961,1992,TA,TA,400.0,1313.0,Y,1773,1.0,0.0,2,0,3,1,6,Attchd,1961.0,2.0,418.0,TA,TA,Y,,08-2006,183000.0
535475010,RL,76,7570,Pave,,AllPub,NAmes,1Fam,2Story,6,5,1964,1964,TA,TA,780.0,780.0,Y,1806,0.0,0.0,1,1,4,1,8,Attchd,1964.0,2.0,483.0,TA,TA,Y,,03-2009,144750.0
528142010,RL,103,12867,Pave,,AllPub,NridgHt,1Fam,2Story,8,5,2005,2006,Gd,TA,1209.0,1209.0,Y,2253,0.0,0.0,2,1,3,1,8,Attchd,2005.0,2.0,575.0,TA,TA,Y,,07-2006,344133.0
906204140,RL,82,11287,Pave,,AllPub,SawyerW,1Fam,2Story,7,6,1989,1989,Gd,TA,386.0,807.0,Y,1982,0.0,0.0,2,1,3,1,7,Attchd,1989.0,2.0,575.0,TA,TA,Y,,01-2007,228500.0
534201260,RL,78,9360,Pave,,AllPub,NAmes,1Fam,1Story,6,7,1968,2004,TA,TA,216.0,976.0,yes,976,1.0,0.0,1,0,2,1,4,Attchd,1968.0,2.0,504.0,TA,TA,Y,,08-2006,157500.0
527208010,RL,101,13543,Pave,,AllPub,StoneBr,1Fam,2Story,8,5,2005,2005,Gd,TA,1152.0,1168.0,Y,2500,0.0,0.0,3,1,5,1,9,BuiltIn,2005.0,3.0,683.0,TA,TA,Y,,07-2008,355000.0
534429150,RL,85,11475,Pave,,AllPub,NAmes,1Fam,SLvl,6,6,1961,1961,TA,TA,640.0,1208.0,Y,1576,1.0,0.0,1,0,4,1,7,BuiltIn,1961.0,2.0,368.0,TA,TA,Y,,09-2009,174500.0
907285010,RL,90,11250,Pave,,AllPub,CollgCr,1Fam,2Story,7,5,1998,1998,TA,TA,258.0,1054.0,Y,1939,0.0,1.0,2,1,3,1,8,Attchd,1998.0,3.0,555.0,TA,TA,Y,,05-2006,227000.0
906385010,RL,94,10402,Pave,,AllPub,CollgCr,1Fam,1Story,7,5,2009,2009,TA,TA,1226.0,1226.0,Y,1226,0.0,0.0,2,0,3,1,6,Attchd,2009.0,3.0,740.0,TA,TA,Y,,05-2010,198900.0
902100020,RM,56,9836,Pave,Grvl,AllPub,OldTown,1Fam,1Story,6,5,2008,2008,TA,TA,96.0,192.0,N,1133,1.0,0.0,1,0,3,1,7,Detchd,2008.0,1.0,308.0,TA,TA,Y,,12-2008,143000.0
527378020,RL,80,10000,Pave,,AllPub,NWAmes,1Fam,1Story,5,6,1973,2000,TA,TA,92.0,1176.0,Y,1178,0.0,1.0,1,1,3,1,5,Attchd,1973.0,2.0,439.0,TA,TA,Y,MnPrv,11-2008,157000.0
905476120,RL,50,8405,Pave,Grvl,AllPub,Edwards,1Fam,1.5Fin,5,8,1900,1950,TA,TA,229.0,861.0,Y,1367,1.0,0.0,1,0,4,1,7,Detchd,1978.0,1.0,384.0,TA,TA,Y,MnPrv,04-2008,
907202080,RL,-1,7000,Pave,,AllPub,CollgCr,1Fam,1Story,5,8,1978,2005,Gd,Gd,218.0,864.0,Y,864,1.0,0.0,1,0,3,1,6,Attchd,1978.0,1.0,336.0,TA,TA,Y,GdWo,07-2009,136500.0
907414060,RL,63,8500,Pave,,AllPub,CollgCr,1Fam,1Story,7,5,2004,2004,Gd,TA,1422.0,1422.0,Y,1422,0.0,0.0,2,0,3,1,7,Attchd,2004.0,2.0,626.0,TA,TA,Y,,11-2007,179600.0
535425070,RL,-1,17600,Pave,,AllPub,NAmes,1Fam,1Story,6,5,1960,1960,TA,TA,208.0,1478.0,Y,1478,1.0,0.0,2,0,3,1,6,Attchd,1960.0,2.0,498.0,TA,TA,Y,,12-2009,157500.0
904100030,RL,82,12375,Pave,,AllPub,Sawyer,1Fam,1.5Fin,5,5,1951,1951,TA,Fa,477.0,806.0,Y,1422,1.0,0.0,1,0,3,1,7,Detchd,1951.0,1.0,288.0,TA,TA,Y,GdWo,06-2006,137500.0
527108030,RL,50,13128,Pave,,AllPub,Gilbert,1Fam,2Story,8,5,2005,2005,Gd,TA,1074.0,1074.0,Y,2064,0.0,0.0,2,1,4,1,7,Attchd,2005.0,2.0,527.0,TA,TA,Y,,01-2006,250000.0
923225510,RL,58,10172,Pave,,AllPub,Mitchel,1Fam,1Story,5,7,1968,2003,TA,TA,423.0,864.0,Y,874,1.0,0.0,1,0,3,1,5,Attchd,1968.0,1.0,288.0,TA,TA,Y,,10-2006,126500.0
902128170,RM,60,7200,Pave,,AllPub,OldTown,1Fam,1Story,5,7,1940,1992,TA,Gd,278.0,788.0,Y,804,1.0,0.0,1,0,2,1,4,Attchd,1940.0,1.0,240.0,TA,TA,Y,MnPrv,02-2010,119000.0
527401160,RL,60,9000,Pave,,AllPub,NAmes,Duplex,2Story,5,5,1974,1974,TA,TA,896.0,896.0,Y,1792,0.0,0.0,2,2,4,2,8,,,0.0,0.0,,,Y,,09-2009,136000.0
535478090,RL,70,7000,Pave,,AllPub,NAmes,1Fam,1Story,5,6,1962,1962,TA,TA,396.0,864.0,Y,864,0.0,1.0,1,0,3,1,5,Attchd,1962.0,1.0,336.0,TA,TA,Y,GdWo,02-2006,105000.0
527452290,RL,65,7514,Pave,,AllPub,NAmes,1Fam,1Story,5,7,1967,1975,TA,TA,462.0,943.0,Y,1387,1.0,0.0,1,0,3,1,6,Attchd,1974.0,1.0,300.0,TA,TA,Y,,09-2006,145000.0
534251320,RL,-1,9790,Pave,,AllPub,NWAmes,1Fam,1Story,6,5,1963,1963,TA,TA,678.0,1328.0,Y,1328,1.0,0.0,1,1,3,1,6,Attchd,1963.0,2.0,528.0,TA,TA,Y,,06-2010,143000.0
909428280,RL,100,17500,Pave,,AllPub,Crawfor,1Fam,1Story,7,8,1959,2002,Gd,Gd,496.0,1902.0,Y,1902,1.0,0.0,2,0,3,1,7,Attchd,1959.0,2.0,567.0,TA,TA,Y,,05-2010,335000.0
528150090,RL,131,14828,Pave,,AllPub,NridgHt,1Fam,1Story,9,5,2004,2005,Ex,TA,397.0,1780.0,Y,1780,1.0,0.0,2,0,2,1,7,Attchd,2004.0,3.0,816.0,TA,TA,Y,,08-2006,378000.0
904351040,C (all),-1,6449,Pave,,AllPub,SWISU,1Fam,2Story,4,1,1907,1950,TA,TA,634.0,707.0,N,1884,0.0,0.0,1,1,4,1,7,,,0.0,0.0,,,N,,03-2010,93369.0
916386060,RL,73,9802,Pave,,AllPub,Timber,1Fam,2Story,5,5,2006,2007,TA,TA,384.0,384.0,Y,1444,0.0,0.0,2,1,3,1,7,BuiltIn,2007.0,2.0,400.0,TA,TA,Y,,04-2010,174000.0
905101260,RL,70,12886,Pave,,AllPub,Sawyer,1Fam,SLvl,5,6,1963,1999,TA,TA,76.0,520.0,Y,1464,0.0,1.0,2,0,3,1,6,Attchd,1997.0,2.0,480.0,TA,TA,Y,,10-2009,175000.0
909250080,RL,43,5707,Pave,,AllPub,SWISU,1Fam,2Story,6,6,1935,1950,TA,TA,583.0,583.0,Y,1242,0.0,0.0,1,1,3,1,6,Detchd,1926.0,1.0,180.0,Fa,TA,Y,,03-2009,
527450280,RM,21,1680,Pave,,AllPub,BrDale,Twnhs,2Story,6,5,1973,1973,TA,TA,229.0,483.0,Y,987,1.0,0.0,1,1,2,1,5,Detchd,1973.0,1.0,264.0,TA,TA,Y,,07-2009,111000.0
902107050,RM,60,7200,Pave,Grvl,AllPub,OldTown,Duplex,SFoyer,5,5,1980,1980,TA,TA,0.0,936.0,Y,936,1.0,0.0,1,0,2,1,4,Detchd,1980.0,2.0,672.0,TA,TA,Y,,08-2007,140000.0
923252080,RL,69,7599,Pave,,AllPub,Mitchel,1Fam,1Story,4,6,1982,2006,TA,TA,280.0,845.0,Y,845,1.0,0.0,1,0,2,1,4,Detchd,1987.0,2.0,360.0,TA,TA,Y,,06-2007,129500.0
534430080,RL,68,9717,Pave,,AllPub,NAmes,1Fam,1Story,5,6,1950,1996,TA,TA,0.0,1078.0,Y,1078,1.0,0.0,1,0,2,1,5,Attchd,1950.0,1.0,240.0,TA,TA,Y,,04-2010,142125.0
906380190,RL,64,6762,Pave,,AllPub,CollgCr,1Fam,1Story,7,5,2006,2006,Gd,TA,501.0,1187.0,Y,1208,1.0,0.0,2,0,2,1,6,Attchd,2006.0,2.0,632.0,TA,TA,Y,,02-2010,206000.0
902401090,RM,33,5976,Pave,,AllPub,OldTown,Duplex,2Story,5,7,1920,1950,TA,TA,624.0,624.0,N,1248,0.0,0.0,2,0,2,2,8,,,0.0,0.0,,,N,,12-2006,93500.0
528235010,RL,71,7795,Pave,,AllPub,Gilbert,1Fam,2Story,7,5,2004,2005,Gd,TA,291.0,716.0,Y,1432,1.0,0.0,2,1,3,1,6,Attchd,2004.0,2.0,432.0,TA,TA,Y,,07-2009,188500.0
923230200,RL,50,7689,Pave,,AllPub,Mitchel,1Fam,SFoyer,5,8,1972,1972,TA,TA,0.0,796.0,Y,796,0.0,1.0,1,0,2,1,4,Detchd,1998.0,1.0,336.0,TA,TA,Y,MnPrv,07-2009,131900.0
534475160,RL,89,10858,Pave,,AllPub,NAmes,1Fam,1Story,5,6,1952,1952,TA,Gd,1404.0,1444.0,Y,1624,1.0,0.0,1,0,2,1,6,Attchd,1952.0,1.0,240.0,TA,TA,Y,MnPrv,07-2006,146500.0
534252060,RL,-1,10624,Pave,,AllPub,NAmes,Duplex,1Story,5,4,1964,1964,TA,TA,1424.0,1728.0,Y,1728,0.0,1.0,2,0,6,2,10,Detchd,2002.0,1.0,352.0,TA,TA,Y,,11-2007,119000.0
905105260,RL,66,7742,Pave,,AllPub,Sawyer,1Fam,1Story,5,7,1966,1966,TA,TA,192.0,955.0,Y,955,1.0,0.0,1,0,3,1,6,Attchd,1966.0,1.0,386.0,TA,TA,Y,MnPrv,01-2007,127000.0
532479050,RL,44,10751,Pave,,AllPub,Sawyer,1Fam,1Story,5,5,1974,1974,TA,TA,250.0,1037.0,Y,1037,1.0,0.0,1,0,2,1,5,Attchd,1974.0,2.0,431.0,TA,TA,Y,,08-2007,129000.0
907290230,RM,37,4435,Pave,,AllPub,CollgCr,TwnhsE,1Story,6,5,2004,2004,Gd,TA,186.0,848.0,Y,848,1.0,0.0,1,0,1,1,3,Attchd,2004.0,2.0,420.0,TA,TA,Y,,05-2006,155900.0
528488120,FV,62,7500,Pave,Pave,AllPub,Somerst,1Fam,1Story,7,5,2005,2005,Gd,TA,1257.0,1257.0,Y,1266,0.0,0.0,2,0,3,1,6,Attchd,2005.0,2.0,453.0,TA,TA,Y,,04-2006,176000.0
528456230,FV,75,9000,Pave,,AllPub,Somerst,1Fam,1Story,7,5,2006,2007,Gd,TA,1335.0,1335.0,yes,1335,0.0,0.0,2,0,3,1,6,Attchd,2007.0,2.0,575.0,TA,TA,Y,,06-2007,210400.0
905107070,RL,74,7844,Pave,,AllPub,Sawyer,1Fam,2Story,6,7,1978,1978,TA,TA,463.0,672.0,Y,1400,0.0,0.0,1,1,3,1,6,Attchd,1978.0,2.0,440.0,TA,TA,Y,,03-2006,149500.0
527352150,RL,-1,13250,Pave,,AllPub,NWAmes,1Fam,2Story,7,6,1978,1978,TA,TA,832.0,832.0,Y,2050,0.0,0.0,2,1,4,1,8,Attchd,1978.0,2.0,529.0,TA,TA,Y,,05-2009,154000.0
906394020,RL,78,9316,Pave,,AllPub,CollgCr,1Fam,2Story,7,5,2005,2006,Gd,TA,879.0,879.0,Y,1795,0.0,0.0,2,1,3,1,7,Attchd,2005.0,2.0,578.0,TA,TA,Y,,10-2007,191000.0
902105130,RM,60,4800,Pave,,AllPub,OldTown,1Fam,1Story,5,4,1940,1950,TA,TA,672.0,672.0,Y,672,0.0,0.0,1,0,2,1,4,Detchd,1950.0,1.0,256.0,TA,TA,Y,MnPrv,08-2008,64000.0
